Player Name,Position,Lineup Status,Roster Status
Derrick White,SG,Confirmed,Active
Jayson Tatum,SF,Confirmed,Active
Marcus Smart,PG,Confirmed,Active
Jaylen Brown,PF,Confirmed,Active
Al Horford,C,Confirmed,Active
Blake Griffin,,Confirmed,Active
Mike Muscala,,Confirmed,Active
Malcolm Brogdon,,Confirmed,Active
Luke Kornet,,Confirmed,Active
Robert Williams III,,Confirmed,Active
Grant Williams,,Confirmed,Active
Payton Pritchard,,Confirmed,Active
Sam Hauser,,Confirmed,Active
Danilo Gallinari,,Confirmed,Inactive
Mfiondu Kabengele,,Confirmed,Inactive
JD Davison,,Confirmed,Inactive
Donovan Mitchell,SG,Confirmed,Active
Caris LeVert,SF,Confirmed,Active
Darius Garland,PG,Confirmed,Active
Lamar Stevens,PF,Confirmed,Active
Evan Mobley,C,Confirmed,Active
Robin Lopez,,Confirmed,Active
Ricky Rubio,,Confirmed,Active
Cedi Osman,,Confirmed,Active
Jarrett Allen,,Confirmed,Active
Mamadi Diakite,,Confirmed,Active
Isaac Okoro,,Confirmed,Active
Danny Green,,Confirmed,Inactive
Raul Neto,,Confirmed,Inactive
Dylan Windler,,Confirmed,Inactive
Dean Wade,,Confirmed,Inactive
Sam Merrill,,Confirmed,Inactive
Isaiah Mobley,,Confirmed,Inactive
Tyler Herro,SG,Confirmed,Active
Victor Oladipo,SF,Confirmed,Active
Gabe Vincent,PG,Confirmed,Active
Kevin Love,PF,Confirmed,Active
Bam Adebayo,C,Confirmed,Active
Udonis Haslem,,Confirmed,Active
Kyle Lowry,,Confirmed,Active
Cody Zeller,,Confirmed,Active
Caleb Martin,,Confirmed,Active
Duncan Robinson,,Confirmed,Active
Haywood Highsmith,,Confirmed,Active
Max Strus,,Confirmed,Active
Omer Yurtseven,,Confirmed,Active
Jimmy Butler,,Confirmed,Inactive
Nikola Jovic,,Confirmed,Inactive
Orlando Robinson,,Confirmed,Inactive
Jamal Cain,,Confirmed,Inactive
Gary Harris,SG,Confirmed,Active
Franz Wagner,SF,Confirmed,Active
Markelle Fultz,PG,Confirmed,Active
Paolo Banchero,PF,Confirmed,Active
Wendell Carter Jr.,C,Confirmed,Active
Michael Carter-Williams,,Confirmed,Active
Moritz Wagner,,Confirmed,Active
Goga Bitadze,,Confirmed,Active
Bol Bol,,Confirmed,Active
Chuma Okeke,,Confirmed,Active
Admiral Schofield,,Confirmed,Active
Cole Anthony,,Confirmed,Active
Jay Scrubb,,Confirmed,Active
Jalen Suggs,,Confirmed,Active
Caleb Houstan,,Confirmed,Active
Jonathan Isaac,,Confirmed,Inactive
Kevon Harris,,Confirmed,Inactive
Svi Mykhailiuk,SG,Confirmed,Active
Bryce McGowens,SF,Confirmed,Active
Theo Maledon,PG,Confirmed,Active
P.J. Washington,PF,Confirmed,Active
Nick Richards,C,Confirmed,Active
Dennis Smith Jr.,,Confirmed,Active
Xavier Sneed,,Confirmed,Active
Kai Jones,,Confirmed,Active
James Bouknight,,Confirmed,Active
JT Thor,,Confirmed,Active
Mark Williams,,Confirmed,Active
Gordon Hayward,,Confirmed,Inactive
Kelly Oubre Jr.,,Confirmed,Inactive
Terry Rozier,,Confirmed,Inactive
Cody Martin,,Confirmed,Inactive
LaMelo Ball,,Confirmed,Inactive
Herbert Jones,SG,Confirmed,Active
Brandon Ingram,SF,Confirmed,Active
CJ McCollum,PG,Confirmed,Active
Trey Murphy III,PF,Confirmed,Active
Jonas Valanciunas,C,Confirmed,Active
Garrett Temple,,Confirmed,Active
Willy Hernangomez,,Confirmed,Active
Josh Richardson,,Confirmed,Active
Larry Nance Jr.,,Confirmed,Active
Jaxson Hayes,,Confirmed,Active
Kira Lewis Jr.,,Confirmed,Active
Naji Marshall,,Confirmed,Active
Dyson Daniels,,Confirmed,Active
Dereon Seabron,,Confirmed,Active
Zion Williamson,,Confirmed,Inactive
E.J. Liddell,,Confirmed,Inactive
Jose Alvarado,,Confirmed,Inactive
Derrick White,SG,Confirmed,Active
Jayson Tatum,SF,Confirmed,Active
Marcus Smart,PG,Confirmed,Active
Jaylen Brown,PF,Confirmed,Active
Al Horford,C,Confirmed,Active
Blake Griffin,,Confirmed,Active
Mike Muscala,,Confirmed,Active
Malcolm Brogdon,,Confirmed,Active
Luke Kornet,,Confirmed,Active
Robert Williams III,,Confirmed,Active
Grant Williams,,Confirmed,Active
Payton Pritchard,,Confirmed,Active
Sam Hauser,,Confirmed,Active
Danilo Gallinari,,Confirmed,Inactive
Mfiondu Kabengele,,Confirmed,Inactive
JD Davison,,Confirmed,Inactive
Donovan Mitchell,SG,Confirmed,Active
Caris LeVert,SF,Confirmed,Active
Darius Garland,PG,Confirmed,Active
Lamar Stevens,PF,Confirmed,Active
Evan Mobley,C,Confirmed,Active
Robin Lopez,,Confirmed,Active
Ricky Rubio,,Confirmed,Active
Cedi Osman,,Confirmed,Active
Jarrett Allen,,Confirmed,Active
Mamadi Diakite,,Confirmed,Active
Isaac Okoro,,Confirmed,Active
Danny Green,,Confirmed,Inactive
Raul Neto,,Confirmed,Inactive
Dylan Windler,,Confirmed,Inactive
Dean Wade,,Confirmed,Inactive
Sam Merrill,,Confirmed,Inactive
Isaiah Mobley,,Confirmed,Inactive
Tyler Herro,SG,Confirmed,Active
Victor Oladipo,SF,Confirmed,Active
Gabe Vincent,PG,Confirmed,Active
Kevin Love,PF,Confirmed,Active
Bam Adebayo,C,Confirmed,Active
Udonis Haslem,,Confirmed,Active
Kyle Lowry,,Confirmed,Active
Cody Zeller,,Confirmed,Active
Caleb Martin,,Confirmed,Active
Duncan Robinson,,Confirmed,Active
Haywood Highsmith,,Confirmed,Active
Max Strus,,Confirmed,Active
Omer Yurtseven,,Confirmed,Active
Jimmy Butler,,Confirmed,Inactive
Nikola Jovic,,Confirmed,Inactive
Orlando Robinson,,Confirmed,Inactive
Jamal Cain,,Confirmed,Inactive
Gary Harris,SG,Confirmed,Active
Franz Wagner,SF,Confirmed,Active
Markelle Fultz,PG,Confirmed,Active
Paolo Banchero,PF,Confirmed,Active
Wendell Carter Jr.,C,Confirmed,Active
Michael Carter-Williams,,Confirmed,Active
Moritz Wagner,,Confirmed,Active
Goga Bitadze,,Confirmed,Active
Bol Bol,,Confirmed,Active
Chuma Okeke,,Confirmed,Active
Admiral Schofield,,Confirmed,Active
Cole Anthony,,Confirmed,Active
Jay Scrubb,,Confirmed,Active
Jalen Suggs,,Confirmed,Active
Caleb Houstan,,Confirmed,Active
Jonathan Isaac,,Confirmed,Inactive
Kevon Harris,,Confirmed,Inactive
Svi Mykhailiuk,SG,Confirmed,Active
Bryce McGowens,SF,Confirmed,Active
Theo Maledon,PG,Confirmed,Active
P.J. Washington,PF,Confirmed,Active
Nick Richards,C,Confirmed,Active
Dennis Smith Jr.,,Confirmed,Active
Xavier Sneed,,Confirmed,Active
Kai Jones,,Confirmed,Active
James Bouknight,,Confirmed,Active
JT Thor,,Confirmed,Active
Mark Williams,,Confirmed,Active
Gordon Hayward,,Confirmed,Inactive
Kelly Oubre Jr.,,Confirmed,Inactive
Terry Rozier,,Confirmed,Inactive
Cody Martin,,Confirmed,Inactive
LaMelo Ball,,Confirmed,Inactive
Herbert Jones,SG,Confirmed,Active
Brandon Ingram,SF,Confirmed,Active
CJ McCollum,PG,Confirmed,Active
Trey Murphy III,PF,Confirmed,Active
Jonas Valanciunas,C,Confirmed,Active
Garrett Temple,,Confirmed,Active
Willy Hernangomez,,Confirmed,Active
Josh Richardson,,Confirmed,Active
Larry Nance Jr.,,Confirmed,Active
Jaxson Hayes,,Confirmed,Active
Kira Lewis Jr.,,Confirmed,Active
Naji Marshall,,Confirmed,Active
Dyson Daniels,,Confirmed,Active
Dereon Seabron,,Confirmed,Active
Zion Williamson,,Confirmed,Inactive
E.J. Liddell,,Confirmed,Inactive
Jose Alvarado,,Confirmed,Inactive
